text,true_label,pred_prob,pred_label,pred_cat
 Tencent revealed the real number of deaths.		,0,0.00047845062,,不确定
" The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.		",0,0.00049657404,,不确定
" The coronavirus pandemic can be dramatically slowed, or stopped, with the immediate widespread use of high doses of vitamin C.		",0,0.00049657404,,不确定
" Coronavirus cases reported in Rome, Georgia.		",0,0.000577913,,不确定
 Bats responsible for the outbreak of coronavirus originated from the rooftop of a house in Wuhan.		,0,0.0005052817,,不确定
 Satellite images showing high levels of sulphur dioxide above China are possible evidence of mass cremations of people who have died from coronavirus.		,0,0.00059320184,,不确定
" The Chinese news website Tencent filters that there are more than 24,000 deaths from coronavirus.		",0,0.0011643163,,不确定
 Sulfur dioxide pollution in Wuhan reveals that China is burning bodies of victims.		,0,0.00047128228,,不确定
 China orders citizens to abandon/kill their pets as they can transmit coronavirus.		,0,0.00057500426,,不确定
 Coronavirus was created in a lab in Wuhan.		,0,0.00048163134,,不确定
 People in Wuhan are locked inside their houses trying to escape a building fire.		,0,0.000481839,,不确定
 The WHO declared COVID-19 is the abbreviation for China Outbreak Virus in December 2019.		,0,0.0006199555,,不确定
 Chicken infected from coronavirus found In Bangalore.		,0,0.0005467618,,不确定
 Video of police killing COVID-19 affected people in China.		,0,0.0004564773,,不确定
" This photo is a ""chinese tapa""?from a bat.		",0,0.00046067298,,不确定
 A residential building was set on fire in Wuhan to control spread of coronavirus.		,0,0.00051852845,,不确定
 High-rise buildings have become human incinerators to combat the spread of the coronavirus.		,0,0.0005207516,,不确定
 New confirmed cases of COVID-19 in Kolkatta reported by Press Trust of India.		,0,0.0019543453,,不确定
" High levels of sulfur dioxide in Wuhan ""may be a sign of mass cremations of victims of the coronavirus.""		",0,0.00053123874,,不确定
" China has announced the sucess of Egyptian serum form Dr. Hala, Ealth Miniter of Egypt, against coronavirus		",0,0.0005979804,,不确定
" China has announced the success of Egyptian serum form Dr. Hala, Health Minister of Egypt, against coronavirus		",0,0.0005441225,,不确定
 Bus driver in China vomits blood after becoming unconscious behind the wheel.		,0,0.00049756485,,不确定
" Consuming magnesium chloride, sodium bicarbonate, ginger and lemon juice prevents coronavirus infection.		",0,0.00059839746,,不确定
 Latest research by Chinese scientists said coronavirus will render most male patients infertile.		,0,0.0005714798,,不确定
 The coronavirus outbreak in Georgia is caused by the EU-Georgia Association Agreement.		,0,0.0005504534,,不确定
 Drinking alcohol kills the coronavirus.		,0,0.00047479698,,不确定
 Data shows a massive release of sulfur dioxide gas near Wuhan.		,0,0.00047500257,,不确定
 Popping bubble wrap exposes people to coronavirus.		,0,0.00072115473,,不确定
 20 million Chinese people converted to Islam after it was proven that the coronavirus does not affect Muslims.		,0,0.0005365282,,不确定
 Chinese police kill a woman escaping a COVID-19 quarantine in China.		,0,0.00089075364,,不确定
 India has developed a treatment for coronavirus.		,0,0.00047810577,,不确定
 Chinese are converting to Islam after realizing that no Muslim was affected by COVID-19 in the country.		,0,0.0006573021,,不确定
" China seeks court's approval to kill 20,000 coronavirus patients.		",0,0.00047075897,,不确定
 This coronavirus-infected patient reached to Dr. Vinod Kumar but he wasn't given the treatment. He was later referred to Bhagalpur. It further states that one should avoid meat and fish for 3 months and wear mask to protect yourself from coronavirus.		,0,0.0004954629,,不确定
 World labs confirm coronavirus was bioengineered.		,0,0.00078554556,,不确定
 An elderly Chinese couple infected with coronavirus say goodbye while they are in a hospital.		,0,0.0006754638,,不确定
 Coronavirus is a biological warfare weapon.		,0,0.00051166606,,不确定
" The 2008 book ""End of Days"" predicted the current coronavirus outbreak.		",0,0.00069783494,,不确定
 Chinese converting to Islam after realizing that no Muslim was affected by COVD19 in the country.		,0,0.0006112061,,不确定
 A Chinese man has been lynched because he pretended to have the coronavirus.		,0,0.0006152894,,不确定
 The drug Arbidol can help fight the new coronavirus.		,0,0.00048137008,,不确定
" 20 million Chinese convert to Islam, and coronavirus does not affect Muslims.		",0,0.00055653206,,不确定
 The Simpsons predicted the new coronavirus outbreak.		,0,0.00053738133,,不确定
" Coronavirus has arrived in Sarajevo, Bosnia and Herzegovina.		",0,0.0004991413,,不确定
 Chinese people are fleeing China to Vietnam because of coronavirus.		,0,0.00056801,,不确定
" Six coronavirus cases confirmed in Wichita, Kansas.		",0,0.00071235624,,不确定
 Pigs are buried alive due to coronavirus.		,0,0.00057950686,,不确定
 According to a study the novel coronavirus SARS-CoV-2 was the result of experiements done in a lab located near the market in Wuhan.		,0,0.00072904874,,不确定
 A Facebook status from 2012 talked about the spread of coronavirus in 2020.		,0,0.00052714633,,不确定
 Bill Gates wrote a letter saying COVID-19 is teaching humans a lesson.		,0,0.0005458834,,不确定
 The link between COVID-19 and 5G is being hidden.		,0,0.00049318594,,不确定
" Coronavirus case in Uttar Pradesh district, India.		",0,0.0004952338,,不确定
 A Chinese SWAT Team takes down a coronavirus suspect		,0,0.0009032514,,不确定
" There are two coronavirus cases in Bovalino (Reggio Calabria, Italy).		",0,0.00046362856,,不确定
" Coronavirus in Sant'Egidio (Abruzzo, Italy).		",0,0.0005885766,,不确定
" Coronavirus in Parabiago e Nerviano (Lombardia, Italy)		",0,0.0006796276,,不确定
 Coronavirus is present at Bosch company in Bari (Puglia) because Chinese people visited the week before.		,0,0.00048018855,,不确定
" A book by D.Koontz, ""The Eyes of Darkness,"" predicted COVID-19 in 1981.		",0,0.0007400361,,不确定
 Nostradamus predicted the coronavirus.		,0,0.00054929976,,不确定
 A 1981 book predicted the coronavirus outbreak.		,0,0.0007005488,,不确定
" Radio host Rush Limbaugh compares novel coronavirus to ""the common cold.""		",0,0.000530145,,不确定
" Video says President Donald Trump spawned the ""Wuhan super virus outbreak under code name 'zyphr.'""		",0,0.00045933103,,不确定
 Indian Government and the WHO advised people not to purchase colors from China for Holi.		,0,0.0005539427,,不确定
 China needs coronavirus SWAT (special weapons and tactics) police teams to arrest this coronavirus victim.		,0,0.0005675487,,不确定
" In Poland, people who are not insured have to pay for coronavirus testing, so if they can't afford it, they will spread it.		",0,0.0006192936,,不确定
 Bats that hide under Wuhan rooftops caused the COVID-19 outbreak.		,0,0.00052100397,,不确定
 Bats that hide under Wuhan rooftops caused the COVID-19 outbreak.		,0,0.00052100397,,不确定
" Coronavirus patients are being ""cremated alive"" in China.		",0,0.0005068561,,不确定
" Evidence indicates COVID-19 escaped a Chinese lab that was researching it, causing the outbreak.		",0,0.00050507556,,不确定
" The mortality rate for the flu is ""right around"" that of the new coronavirus",0,0.00045227798,,不确定
 China took advantage of the coronavirus crisis to buy back stocks from its technology companies belonging to foreign investors.		,0,0.0005681465,,不确定
 Italian Red Cross gives the recipe for making amuchina (hand sanitizer) at home.		,0,0.0005214871,,不确定
" A ""letter"" from an uncle in Wuhan claims COVID-19 can be cured with hot water.		",0,0.0005271011,,不确定
 The new coronavirus was registered in 2004.		,0,0.0005139058,,不确定
 School has been suspended in Catalonia until 3/2/20.		,0,0.0004693684,,不确定
 New cases of coronavirus in Madrid are linked to two universities and a club.		,0,0.0006711507,,不确定
" Two cases are confirmed of coronavirus in Huelva, Andaluc¡a (2/26/20)		",0,0.00066416466,,不确定
 A monkey has been infected with coronavirus in this photo.		,0,0.00049606006,,不确定
 CDC issued facial hair recommendation for novel coronavirus prevention.		,0,0.0005273294,,不确定
" A post say ""hair weave and lace fronts manufactured in China may contain the coronavirus.""		",0,0.00053223973,,不确定
 Hair Weaves And Lace Front Wigs Made In China Likely To Contain coronavirus.		,0,0.00060715736,,不确定
" A post says ""hair weave and lace fronts manufactured in China may contain the coronavirus.""		",0,0.0004748169,,不确定
" ""Hair weave and lace fronts manufactured in China may contain the coronavirus.""		",0,0.0006395202,,不确定
 Health authorities say shaving a beard protects from COVID-19.		,0,0.000681948,,不确定
 French far right leader Marine Le Pen says the EU didn't act against the outbreak		,0,0.0005985755,,不确定
 The WHO says the coronavirus might be spread by food.		,0,0.0006174879,,不确定
 The WHO has issued an alert against buying holy colors from China		,0,0.00048018392,,不确定
" A ""Lithuanian doctor"" gives advice to those potentially infected with the coronavirus.		",0,0.00049740117,,不确定
 A monkey is been infected with the coronavirus in this photo.		,0,0.00046046215,,不确定
 Lectures have been suspended at the University of Sevilla due to coronavirus.		,0,0.00049565436,,不确定
 El Pais said there is a possible case of coronavirus at the hospital Gregorio Mara¤¢n in Spain.		,0,0.0005565761,,不确定
 First case of coronavirus in Alcal  de Henares (Madrid).		,0,0.00048161575,,不确定
 A brothel with 86 customers was quarantined after a prostitute tested positive for the coronavirus.		,0,0.0004782471,,不确定
 Sevilla's university has suspended classes because of coronavirus on 2/27/20.		,0,0.0005640425,,不确定
 Dr. Gerardo Dovakin found a vaccine against coronavirus.		,0,0.00056704605,,不确定
" A book published in 1981 said that in 2020 a severe pneumonia-like illness would spread across the world, and calling it ""Wuhan-400"".		",0,0.00075756514,,不确定
" Each side of protective surgical masks has different functions, indicated by colour, and you should choose the way you wear by whether you are ill or not.		",0,0.00046958512,,不确定
 Lysol products can kill the novel coronavirus.		,0,0.00047958625,,不确定
" ""The blood test for coronavirus costs $3,200.""		",0,0.0005448619,,不确定
" ""America has been vaccinating cattle for coronavirus for years, yet the news tells you it's new and going to kill you all, so go buy a mask.""		",0,0.0005169869,,不确定
" Starting in March, if you travel outside of the United States you won't be allowed back in the country ""due to high risk of the coronavirus.""		",0,0.0004825141,,不确定
" ""'Akira' is a 1988 movie about an apocalyptic event taking place months before Tokyo 2020 Olympics, showing the WHO advising Japan to postpone the Olympics because of a pandemic risk.""		",0,0.00048883585,,不确定
 Chinese police use a fishing net to arrest a man with a high fever.		,0,0.00062813185,,不确定
" The German government made a ""secret plan"" about coronavirus in 2012 that foretold the pandemic.		",0,0.00048484345,,不确定
 Coronavirus patients in China are caught by officials on a highway.		,0,0.0005570243,,不确定
 Coronavirus patients in China are caught by officials on a highway.		,0,0.0005570243,,不确定
" The wife of a Chinese shop owner in Totana (Murcia, Spain) has coronavirus.		",0,0.00052822934,,不确定
 Barcelona's council issued a notification of a new focus in two neighborhoods.		,0,0.00057378714,,不确定
" The wife of a Chinese shop owner in Totana (Murcia, Spain) has coronavirus.		",0,0.00052822934,,不确定
 Clients of a brothel in the Spanish city of Valencia are quarantined after one of their employees tested positive for coronavirus.		,0,0.0005335066,,不确定
 Election years in the United States coincide with major disease outbreaks.		,0,0.0004895071,,不确定
 Florida man is arrested for robbery using cough as a weapon.		,0,0.00058258564,,不确定
" A ""poll finds 38% of Americans say they will not drink Corona beer because of the virus.""		",0,0.000582834,,不确定
" ""The coronavirus has made it to Mississippi and the lady that caught it wasn't around anybody with it, which means it is airborne. If the wind blows it in your direction, you'll have it also.""		",0,0.00048268065,,不确定
" ""Every election year has a disease""?  SARS in 2004; avian flu in 2008; swine flu in 2010; MERS in 2012; Ebola in 2014 and 2018; Zika in 2016 and the coronavirus in 2020.		",0,0.0009720948,,不确定
" Germany gave medical protection equipment like masks to China, now it's missing in Germany.		",0,0.0004623031,,不确定
 The coronavirus is more dangerous for animals than for humans.		,0,0.00045719353,,不确定
 Russia announces the closure of airspace and suspends all incoming and outgoing flights to China.		,0,0.00047156465,,不确定
 Pangolin is the original cause of COVID-19.		,0,0.00045963912,,不确定
 Doctors recommend carbon filter face masks to prevent coronavirus spread.		,0,0.00045446918,,不确定
" President Barack Obama ""waited six months to call swine flu an emergency after thousands died.""		",0,0.00060779986,,不确定
 CDC recommends men shave their beards to be protected against the new coronavirus.		,0,0.0004827516,,不确定
 Bill Gates is working on an electronic chip to implant under human skin in order to locate and control people.		,0,0.00064543897,,不确定
 Facemasks prevent coronavirus infection.		,0,0.0004619426,,不确定
 An alkaline diet can prevent coronavirus infection.		,0,0.00045918341,,不确定
" ""Florida hospital reports a coronavirus 'infestation' with multiple confirmed patients.""		",0,0.00056996563,,不确定
" ""Shands Hospital of Gainesville, Florida, has confirmed its first case of coronavirus.""		",0,0.0005680988,,不确定
" The coronavirus is ""simply the common cold.""		",0,0.00064840645,,不确定
 Oklahoma police planning to set up roadblocks to enforce a mandatory COVID-19 vaccination law and slap micro-chipped bracelets on people.		,0,0.0006629567,,不确定
" Man critical with novel coronavirus in Barhalganj, India.		",0,0.0004663771,,不确定
 Outbreak of COVID-19 is a worldwide fake. The fatality rate is too low for an epidemic. The WHO admitted causing the SARS outbreak in 2003.		,0,0.0005847129,,不确定
" Ambulance health care workers are transporting a coronavirus patient in The Hague (The Netherlands), dressed in white protective suits.		",0,0.00047638032,,不确定
 The Ministry of Health in Spain issues advice about the coronavirus outbreak.		,0,0.0005224926,,不确定
" The United States is ""actually screening fewer people (for the coronavirus than other countries) because we don't have appropriate testing.""		",0,0.00047593124,,不确定
" A bovine coronavirus vaccine, for cattle, is proof that the novel coronavirus isn't ""new"" and is evidence of ""how much the media controls people.""		",0,0.00055169733,,不确定
 U.S. Vice President Pence urged people with coronavirus to go to the police.		,0,0.0011001163,,不确定
" U.S. Senator Lindsey Graham says President Trump ""probably knows more about medicine and specifically viruses than any of the so-called scientists at the NIH and CDC.""		",0,0.0011190955,,不确定
 People queue outside an Aldi supermarket in Germany to buy food in fear of the new coronavirus.		,0,0.0006858986,,不确定
 Images of BJP men smearing cow dung on one another after their party leader Suman Haripriya said cow dung may help cure coronavirus.		,0,0.00065202656,,不确定
 The CDC recommends men shave their beards to be protected against the new coronavirus.		,0,0.00045857605,,不确定
 Drink (warm) water or gargle every 15 minutes to rinse the new coronavirus down.		,0,0.00080189586,,不确定
 An image shows Senate Minority Leader Chuck Schumer criticizing President Trump's restrictions on foreign nationals traveling to the U.S. from China.		,0,0.00067316164,,不确定
 The government?  or specific states such as Michigan or Florida?  has mandated that employers and schools close for two weeks.		,0,0.00057645544,,不确定
 Pope Francis and his two aides have been infected with the new coronavirus		,0,0.0004937888,,不确定
 A bovine vaccine can be used to inoculate people against coronavirus.		,0,0.00045768297,,不确定
 Patents mean deadly diseases and viruses were created or invented in a lab.		,0,0.0019920222,,不确定
 Bloggers say the Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive.		,0,0.0004607433,,不确定
" Video shows President Donald Trump saying COVID-19 is the Democrats' ""new hoax.""		",0,0.00046528695,,不确定
 The first dog was infected with coronavirus.		,0,0.0004968792,,不确定
" The coronavirus is a bioweapon by the USA, says German politician Wolfgang Gedeon in a Parliament speech.		",0,0.00047746644,,不确定
 Cow dung and cow urine can cure coronavirus.		,0,0.0004501041,,不确定
 Consuming large doses of Vitamin C can stop the spread of coronavirus.		,0,0.00056930014,,不确定
 European Health Organization (EHO) announced that eating beef can cure coronavirus.		,0,0.0005217767,,不确定
 The first coronavirus case in North Macedonia was a well-known fashion designer.		,0,0.0005194892,,不确定
 New coronavirus was registered in 2018.		,0,0.00054239,,不确定
 A dog was quarantined in Hong Kong after testing positive for the new coronavirus.		,0,0.0005508357,,不确定
" Garlic, onions and other traditional medicine recipes are treatments against the new coronavirus.		",0,0.00052100397,,不确定
 The common cold is the only type of coronavirus.		,0,0.00047244335,,不确定
 Officials say coronavirus killed 200 in Iran.		,0,0.00049235794,,不确定
" ""Man visited Albany, N.Y., days before dying from coronavirus.""		",0,0.00046035767,,不确定
" ""The State of Florida has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6.""		",0,0.0019326861,,不确定
" The media ""pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus.""		",0,0.00047279577,,不确定
 Trump's effort to blame Obama for sluggish coronavirus testing.		,0,0.0009118561,,不确定
 Medical book states that coronavirus is just a common cold.		,0,0.0004882218,,不确定
 A Shaheen Bagh protest in India was claimed to have coronavirus.		,0,0.000652304,,不确定
 Runny nose and coughing sputum are not symptoms of COVID-19.		,0,0.0006047921,,不确定
 Precautionary measures suggested by UNICEF.		,0,0.00046199904,,不确定
 The WHO has issued an alert against buying holy colors from China		,0,0.00048018392,,不确定
 Precautionary measures suggested by UNICEF.		,0,0.00046199904,,不确定
 A patent that is being shared to claim COVID-19 is old.		,0,0.0004765208,,不确定
 86 clients of a brothel in quarantine after a prostituted tested positive in coronavirus.		,0,0.00052264717,,不确定
 Vitamin C is a miracle cure for the novel coronavirus.		,0,0.00049587846,,不确定
 Shanghai government officially recommends Vitamin C for COVID-19.		,0,0.00054801884,,不确定
 Donating plasma or blood is free testing for the coronavirus.		,0,0.000625754,,不确定
 Novel coronavirus has a 99.7% survival rate.		,0,0.0005365589,,不确定
 Every election year has a disease; coronavirus has a contagion factor of 2 and a cure rate of 99.7% for those under 50 it infects.		,0,0.00053921965,,不确定
 The coronavirus outbreak is caused by 5G technology.		,0,0.00054983486,,不确定
" President Donald Trump tweeted, ""Coronavirus vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions",0,0.0007246389,,不确定
 Homeopathic product Oscillococcinum protects against COVID-19.		,0,0.0004889491,,不确定
 People who died after being infected by the novel coronavirus can't receive any mortuary care.		,0,0.00054113346,,不确定
 Chinese President Xi Jinping visited Muslims to understand why they are not contracting COVID-19.		,0,0.0005811822,,不确定
 Aaj Tak channel aired a program that said drinking alcohol or smoking weed can cure COVID-19.		,0,0.00069412333,,不确定
 Girl infected with coronavirus found dead in her apartment in Delhi.		,0,0.000596862,,不确定
 Increasing border controls will stop coronavirus from spreading.		,0,0.0005357551,,不确定
 Holding your breath for 10sec can determine if you have COVID-19 and you should drink water every 15 minutes.		,0,0.00048039097,,不确定
 Medical Center in El Cachorro (Sevilla) closed due to a possible coronavirus infected person.		,0,0.0006523799,,不确定
 WhatsApp message suggests holding your breath for 10 seconds and drinking water every 15 minutes will fight the coronavirus.		,0,0.0005937214,,不确定
 WhatsApp message suggests holding your breath for 10 seconds and drinking water every 15 minutes will fight the coronavirus..		,0,0.0005937214,,不确定
" Bloggers say Nancy Pelosi delayed coronavirus funding so ""Dems could campaign on it.""		",0,0.00059438084,,不确定
 The mayor Of Buffalo told people to evacuate due to the coronavirus outbreak.		,0,0.00045765506,,不确定
" CDC sponsored Facebook post asking for help with ""escaped"" coronavirus patient.		",0,0.00045445014,,不确定
" If the coronavirus gets in your mouth, ""drinking water or other liquids will wash them down through your esophagus and into the stomach. Once there, your stomach acid will kill all of the virus.""		",0,0.0005130875,,不确定
 Did the coronavirus mutate and became more aggressive?		,0,0.0005917938,,不确定
 Telangana Ministry in India distributed homeopathic tablets claiming to prevent COVID-19.		,0,0.0006992986,,不确定
 Coronavirus patients are being caught on highways in China.		,0,0.0004873961,,不确定
 Vietnam was the first country to contain and develop a quick test for SARS and COVID-19.		,0,0.00051016826,,不确定
 Consuming colloidal silver can prevent or treat novel coronavirus.		,0,0.0004975796,,不确定
" As of 3/7/20, Tanzania and Zambia had confirmed fist cases of the new coronavirus.		",0,0.00054911536,,不确定
" A Facebook post shared 25,000 times features an image of a letter purportedly from a U.S. hospital recommending people drink alcohol to help reduce the risks of novel coronavirus infection.		",0,0.0006754432,,不确定
" ""More people have died from knowing Hillary (Clinton)"" than from coronavirus.		",0,0.0004738331,,不确定
" U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal.		",0,0.0010824639,,不确定
 Elderberry syrup protects against the coronavirus.		,0,0.00048394682,,不确定
 An Italian doctor who worked at the Shenzhen hospital in China issued a series of instuctions for locating and treating the new coronavirus SARS-CoV-2.		,0,0.0006756938,,不确定
" A post has been shared on Facebook, Twitter and Whatsapp claims a regional government in India has recommended that the juice of bitter gourd, a vegetable often used in traditional medicine, is an effective treatment for the novel coronavirus.		",0,0.00054155267,,不确定
 Hot air application through a hairdryer on the face to heat up nostrils and the sinus kills the novel coronavirus.		,0,0.0005980346,,不确定
 States are imposing mandatory leave and statewise school closures due to coronavirus.		,0,0.0005118198,,不确定
" Danish politician says Greta Thunberg gets special treatment in the European Parliament as she, despite the current outbreak, is allowed to speak.		",0,0.00057443156,,不确定
 The French health minister underestimated the risk of contamination in France.		,0,0.000816686,,不确定
 The headline of a newspaper with a phrase from the Bolivian chancellor about the coronavirus.		,0,0.0006158812,,不确定
" People of the Muslim community have prohibited visiting Mecca Medina to avoid the outbreak of coronavirus, but people of Sanatan religion are playing Holi at the crematorium of Kashi Vishwanath as a pyre.		",0,0.000547743,,不确定
 UNICEF advises a certain set of steps to follow for coronavirus.		,0,0.0005495711,,不确定
" In an Aaj Tak news report, the Chinese prime minister said, ""Reading Quran and offering namaz is the only cure for COVID-19.""		",0,0.0008057901,,不确定
 Availability of a kit for coronavirus self-diagnosis in Italy.		,0,0.00046202986,,不确定
 COVID-19 can be killed over 37 degrees Celsius.		,0,0.00069932383,,不确定
" The Mayor of Skopje, Shilegov, returned from Madrid three days ago, and the government passed a decree requiring all passengers from Spain to be tested for coronavirus and placed in a 14-day quarantine.		",0,0.00057161006,,不确定
 Gang in Madrid is pretending to be doctors to steal from people's houses.		,0,0.0005135854,,不确定
 Viral claims propagating UNICEF message about coronavirus.		,0,0.00045968118,,不确定
 Coronavirus was caused by a mysterious vaccine activation distributed in China by chemtrails and activated by 5G.		,0,0.00071150414,,不确定
" Spanish actress Cristina Pedroche has promised to show a breast if the number of coronavirus infections reaches 1,000 in Spain.		",0,0.0006288769,,不确定
 A doctor named Lupita Yamamoto Lupercio found the coronavirus vaccine.		,0,0.0004935252,,不确定
" Says 80% of novel coronavirus cases are ""mild.""		",0,0.0004828349,,不确定
 Donating blood in the U.S. can get you a novel coronavirus test.		,0,0.00090206176,,不确定
" Hand sanitizer will ""do nothing for the coronavirus.""		",0,0.000528314,,不确定
 Freshly boiled garlic water is a cure for coronavirus.		,0,0.00046364625,,不确定
 A NYC Man With Suspected coronavirus Drops Dead in the Middle of the Street.		,0,0.00046921897,,不确定
" ""(Former U.S. President Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus. Do you know that Trump closed 37 of them?""		",0,0.05621816,,不确定
 Flu vaccine does not increase the risk of a coronavirus infection.		,0,0.00046822743,,不确定
 Antibiotic azitromycin cures COVID-19.		,0,0.0005890887,,不确定
 Holding your breath is an effective way to self-diagnose for COVID-19.		,0,0.00045674466,,不确定
 Senegalese president and government appears with masks during a press conference.		,0,0.0004621118,,不确定
 Senegalese president and government appears with masks during a press conference.		,0,0.0004621118,,不确定
" While everybody is busy with coronavirus, authorities in Grlitz, Germany, secretly brought asylum seekers into the city.		",0,0.00055243925,,不确定
" A video where a woman dressed like a Chef prepares food with only one glove, and she blows on it with no protections. The video would have been shot in Africa during the COVID-19 pandemic.		",0,0.00064869225,,不确定
" The Italian department of civil protection has communicated that from 3/16/20, the bio-containment BSL-4 can be introduced.		",0,0.00048256884,,不确定
 The Italian Ministry of Interior ruled with a public statement that police will check all people as they exit from their houses.		,0,0.0005795721,,不确定
" 200 new cases of COVID-19 registered in Lithuania. People are ""cleansed with bleach"" at the Vilnius international airport and taken to a small tent-town nearby.		",0,0.0007562897,,不确定
" A Macedonian coronavirus patient, the director of the Skin Clinic, was at the wedding of the Secretary General of the Social Democratic Union of Macedonia.		",0,0.0005645263,,不确定
" Fake coronavirus pandemic is a cover-up for the ""5G disease.""		",0,0.0007690636,,不确定
 UNICEF advises not to eat ice cream because it reinforces infection with the new coronavirus.		,0,0.0006271951,,不确定
 Thieves in Palma (Spain) are pretending to be doctors to steal in people's houses.		,0,0.0005138186,,不确定
 Gang in Vitoria pretending to be doctors to steal from people's houses.		,0,0.00056609185,,不确定
 Vitamin C and warm water with lemon are effective ways of preventing COVID-19.		,0,0.00060345075,,不确定
 Public broadcast RTVE published a map of coronavirus cases in Spain that in fact was a map of penis' average size in different regions.		,0,0.00046945884,,不确定
 Classes were canceled in Basque Country because of coronavirus.		,0,0.0007016581,,不确定
 Spanish Education minister Isabel Cela  wore purple latex gloves on a Women's Day demonstration because she was afraid of the coronavirus.		,0,0.00050157344,,不确定
 Madrid ex-mayor Manuel Carmena has coronavirus.		,0,0.0004893792,,不确定
 Galicia suspended classes because of coronavirus on 3/10/20.		,0,0.0005502015,,不确定
 Empty supermarket in Madrid after measures announced against coronavirus.		,0,0.00045467596,,不确定
" Manuela Carmena, ex-mayor of Madrid, got infected with coronavirus.		",0,0.00053015613,,不确定
 Thieves in Madrid are pretending to be doctors to steal from people's houses.		,0,0.00046763662,,不确定
 Holding your breath for 10sec can determine if you have COVID-19 and you should drink water every 15 minutes.		,0,0.00048039097,,不确定
 Holding your breath for 10 seconds can determine if you have COVID-19 and you should drink water every 15 minutes.		,0,0.00046402356,,不确定
 Every U.S. election year has a disease outbreak.		,0,0.05677982,,不确定
 Does Mexico have confirmed cases of COVID-19?		,0,0.0006052352,,不确定
 Holding your breath for 10 seconds can determine if you have COVID-19; drink water every 15 minutes.		,0,0.00049114093,,不确定
 Why it's dangerous to make your own hand sanitizer at home.		,0,0.00058628304,,不确定
 Racist scene against Chinese people in the metro in Belgium.		,0,0.0006713831,,不确定
